"filename", "language", "C++", "CMakeCache", "JSON", "TypeScript", "CMake", "YAML", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/moc_predefs.h", "C++", 459, 0, 0, 0, 0, 0, 0, 1, 460
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/mocs_compilation.cpp", "C++", 10, 0, 0, 0, 0, 0, 1, 1, 12
"/home/xiaojiang/DEV/SparkPlayer/build/cmake_install.cmake", "CMake", 0, 0, 0, 0, 62, 0, 7, 10, 79
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 110, 0, 0, 0, 0, 0, 110
"/home/xiaojiang/DEV/SparkPlayer/include.h", "C++", 30, 0, 0, 0, 0, 0, 2, 3, 35
"/home/xiaojiang/DEV/SparkPlayer/main.cpp", "C++", 43, 0, 0, 0, 0, 0, 2, 4, 49
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 252, 0, 0, 0, 0, 0, 29, 44, 325
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.h", "C++", 55, 0, 0, 0, 0, 0, 2, 16, 73
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 740, 0, 0, 0, 0, 0, 63, 105, 908
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 141, 0, 0, 0, 0, 0, 10, 33, 184
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 44, 0, 0, 0, 0, 0, 0, 5, 49
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.h", "C++", 16, 0, 0, 0, 0, 0, 2, 3, 21
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 6, 36
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.h", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 22
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.cpp", "C++", 122, 0, 0, 0, 0, 0, 0, 22, 144
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.h", "C++", 32, 0, 0, 0, 0, 0, 78, 21, 131
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 6, 54
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.h", "C++", 22, 0, 0, 0, 0, 0, 0, 9, 31
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.cpp", "C++", 106, 0, 0, 0, 0, 0, 6, 19, 131
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.h", "C++", 50, 0, 0, 0, 0, 0, 1, 21, 72
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 123, 0, 0, 0, 0, 0, 2, 20, 145
