Date : 2025-04-01 19:17:43
Directory : /home/xiaojiang/DEV/SparkPlayer
Total : 67 files,  10612 codes, 442 comments, 1017 blanks, all 12071 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         12 |      5,138 |          0 |         10 |      5,148 |
| C++        |         37 |      4,129 |        375 |        765 |      5,269 |
| CMake      |         12 |        525 |         65 |        110 |        700 |
| CMakeCache |          1 |        509 |          0 |        113 |        622 |
| YAML       |          1 |        282 |          2 |         15 |        299 |
| TypeScript |          4 |         29 |          0 |          4 |         33 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         67 |     10,612 |        442 |      1,017 |     12,071 |
| . (Files)                                                                                                                           |          8 |        865 |        142 |        173 |      1,180 |
| build                                                                                                                               |         31 |      7,552 |        120 |        385 |      8,057 |
| build (Files)                                                                                                                       |          3 |        681 |          7 |        123 |        811 |
| build/.cmake                                                                                                                        |         10 |      4,678 |          0 |          9 |      4,687 |
| build/.cmake/api                                                                                                                    |         10 |      4,678 |          0 |          9 |      4,687 |
| build/.cmake/api/v1                                                                                                                 |         10 |      4,678 |          0 |          9 |      4,687 |
| build/.cmake/api/v1/query                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                             |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                           |          9 |      4,677 |          0 |          9 |      4,686 |
| build/CMakeFiles                                                                                                                    |         16 |      1,724 |        112 |        251 |      2,087 |
| build/CMakeFiles (Files)                                                                                                            |          3 |        464 |         27 |         39 |        530 |
| build/CMakeFiles/3.30.5                                                                                                             |          3 |        793 |         64 |        181 |      1,038 |
| build/CMakeFiles/3.30.5 (Files)                                                                                                     |          2 |         86 |          2 |         30 |        118 |
| build/CMakeFiles/3.30.5/CompilerIdCXX                                                                                               |          1 |        707 |         62 |        151 |        920 |
| build/CMakeFiles/SparkPlayer.dir                                                                                                    |          3 |         80 |          7 |         10 |         97 |
| build/CMakeFiles/SparkPlayer_autogen.dir                                                                                            |          4 |        372 |          7 |         11 |        390 |
| build/CMakeFiles/SparkPlayer_autogen_timestamp_deps.dir                                                                             |          3 |         15 |          7 |         10 |         32 |
| build/SparkPlayer_autogen                                                                                                           |          2 |        469 |          1 |          2 |        472 |
| utils                                                                                                                               |          6 |        990 |         75 |        155 |      1,220 |
| widgets                                                                                                                             |         22 |      1,205 |        105 |        304 |      1,614 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/xiaojiang/DEV/SparkPlayer/CMakeLists.txt                                                                                      | CMake      |         84 |         10 |         19 |        113 |
| /home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.cpp                                                                             | C++        |        305 |         43 |         56 |        404 |
| /home/xiaojiang/DEV/SparkPlayer/SparkMediaControler.h                                                                               | C++        |         73 |         54 |         30 |        157 |
| /home/xiaojiang/DEV/SparkPlayer/SparkPlayer_zh_CN.ts                                                                                | TypeScript |         23 |          0 |          1 |         24 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/query/client-vscode/query.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cache-v2-07484434cbab4d13d29a.json                                        | JSON       |      2,623 |          0 |          1 |      2,624 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/cmakeFiles-v1-4b152e0e16ff92547555.json                                   | JSON       |        684 |          0 |          1 |        685 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/codemodel-v2-f28d6aca7bf82408e367.json                                    | JSON       |         79 |          0 |          1 |         80 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/directory-.-Debug-25bef4b1927ea0f866a4.json                               | JSON       |         45 |          0 |          1 |         46 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/index-2025-04-01T08-32-57-0222.json                                       | JSON       |        132 |          0 |          1 |        133 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-d1d41d09678026fc6c54.json                        | JSON       |        946 |          0 |          1 |        947 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer_autogen-Debug-1fc1c797581ba779a849.json                | JSON       |         71 |          0 |          1 |         72 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer_autogen_timestamp_deps-Debug-4719f788a747b4869489.json | JSON       |         27 |          0 |          1 |         28 |
| /home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/toolchains-v1-d20a5fdbd21799f8d94e.json                                   | JSON       |         70 |          0 |          1 |         71 |
| /home/xiaojiang/DEV/SparkPlayer/build/CMakeCache.txt                                                                                | CMakeCache |        509 |          0 |        113 |        622 |
| /home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/3.30.5/CMakeCXXCompiler.cmake                                                      | CMake      |         76 |          2 |         24 |        102 |
| /home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/3.30.5/CMakeSystem.cmake                                                           | CMake      |         10 |          0 |          6 |         16 |
| /home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/3.30.5/CompilerIdCXX/CMakeCXXCompilerId.cpp                                        | C++        |        707 |         62 |        151 |        920 |
| /home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/CMakeConfigureLog.yaml                                                             | YAML       |        282 |          2 |         15 |        299 |
