"filename", "language", "C++", "CMake", "CMakeCache", "TypeScript", "JSON", "YAML", "XML", "Log", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/20250114-1705/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/Temporary/LastTest_20250114-1705.log", "Log", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/home/xiaojiang/DEV/SparkPlayer/build/cmake_install.cmake", "CMake", 0, 62, 0, 0, 0, 0, 0, 0, 7, 10, 79
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 98
"/home/xiaojiang/DEV/SparkPlayer/include.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 2, 3, 32
"/home/xiaojiang/DEV/SparkPlayer/main.cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 2, 4, 49
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 249, 0, 0, 0, 0, 0, 0, 0, 29, 44, 322
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.h", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 2, 15, 70
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 712, 0, 0, 0, 0, 0, 0, 0, 55, 109, 876
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 138, 0, 0, 0, 0, 0, 0, 0, 9, 34, 181
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.cpp", "C++", 122, 0, 0, 0, 0, 0, 0, 0, 0, 22, 144
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 78, 21, 131
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 4, 17, 113
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 1, 21, 70
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 64, 0, 0, 0, 0, 0, 0, 0, 1, 13, 78
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.cpp", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 1, 18, 84
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 1, 10, 37
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.cpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 4, 15, 130
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 0, 4, 10, 76
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"Total", "-", 3736, 514, 517, 29, 5149, 282, 34, 3, 415, 951, 11630
