"filename", "language", "C++", "CMake", "CMakeCache", "TypeScript", "YAML", "JSON", "XML", "Log", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/20250114-1705/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/Temporary/LastTest_20250114-1705.log", "Log", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/home/xiaojiang/DEV/SparkPlayer/build/cmake_install.cmake", "CMake", 0, 62, 0, 0, 0, 0, 0, 0, 7, 10, 79
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 86
"/home/xiaojiang/DEV/SparkPlayer/include.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 2, 3, 32
"/home/xiaojiang/DEV/SparkPlayer/main.cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 2, 4, 49
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 215, 0, 0, 0, 0, 0, 0, 0, 29, 38, 282
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 2, 13, 60
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 570, 0, 0, 0, 0, 0, 0, 0, 46, 95, 711
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 113, 0, 0, 0, 0, 0, 0, 0, 1, 26, 140
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/home/xiaojiang/DEV/SparkPlayer/utils/Path.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.cpp", "C++", 122, 0, 0, 0, 0, 0, 0, 0, 0, 22, 144
"/home/xiaojiang/DEV/SparkPlayer/widgets/FlowLayout.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 78, 21, 131
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/home/xiaojiang/DEV/SparkPlayer/widgets/ImageBox.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 3, 17, 103
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 1, 21, 69
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 1, 11, 62
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 13, 40
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.cpp", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 1, 18, 84
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 1, 10, 37
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.cpp", "C++", 68, 0, 0, 0, 0, 0, 0, 0, 4, 8, 80
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 2, 13, 47
"Total", "-", 3135, 500, 517, 29, 282, 5089, 34, 3, 336, 833, 10758
